date,coeff_fundonly,coeff_fundonly_p025,coeff_fundonly_p975,coeff_adjpollsonly,coeff_adjpollsonly_p025,coeff_adjpollsonly_p975,intercept,intercept_p025,intercept_p975,r_squared
2024-07-14,0.4384,0.393,0.484,0.5634,0.519,0.608,-1.6633,-1.915,-1.411,1.000
2024-07-15,0.2952,0.253,0.338,0.7042,0.663,0.746,-2.4171,-2.652,-2.182,1.000
2024-07-16,0.2930,0.242,0.344,0.7063,0.657,0.755,-2.8409,-3.109,-2.573,1.000
2024-07-17,0.2877,0.240,0.335,0.7111,0.665,0.757,-2.6480,-2.888,-2.408,1.000
2024-07-18,0.2934,0.247,0.339,0.7067,0.662,0.751,-2.7519,-3.006,-2.498,1.000
