State,FundOnly,PollsOnly,AdjPollsOnly,Final
US,-3.4,,2,-2.1
AL,22.7,,29,25
AK,9.5,,17.2,12.8
AZ,-0.1,,6.2,2
AR,25.3,,30.9,27
CA,-25.2,,-21.3,-25.2
CO,-11.6,,-5.4,-9.8
CT,-17.2,,-11.9,-16
DE,-16.9,,-10.7,-14.9
DC,-76.2,,-79.1,-79.5
FL,4.2,,9.6,5.4
GA,0.3,,6.2,1.9
HI,-25.3,,-18.6,-22.8
ID,27.7,,33.9,30
IL,-14.5,,-8.9,-13.1
IN,13.6,,21.3,16.7
IA,7.9,,15.9,11.2
KS,13.2,,19.2,15.1
KY,22.9,,29.5,25.4
LA,16.6,,20.5,16.8
ME,-7.6,,-1.4,-5.6
MD,-29,,-23.1,-27.3
MA,-28.7,,-25.6,-29.2
MI,-2,,2.2,-1.9
MN,-5.8,,-0.3,-4.8
MS,14.9,,20.8,16.6
MO,13.7,,18.4,14.6
MT,14.9,,18.4,14.8
NE,17.4,,23.7,19.5
NV,-1.9,,5.7,1.1
NH,-6,,-0.7,-4.8
NJ,-13.6,,-5.1,-9.9
NM,-9,,-4,-8.2
NY,-19.4,,-10.9,-15.6
NC,1.6,,6.9,2.8
ND,30.2,,36.1,32
OH,7.3,,10.2,6.7
OK,29.6,,35.6,31.8
OR,-14,,-9.3,-13.3
PA,-1.1,,3.7,-0.4
RI,-18.1,,-12.2,-16.5
SC,10.5,,16.4,12.3
SD,23.7,,26.9,23.4
TN,20.9,,24.5,20.9
TX,5,,9.6,5.7
UT,18.6,,26.2,21.9
VT,-30.9,,-26.6,-30.4
VA,-8.7,,-2.2,-6.7
WA,-16.9,,-9.2,-13.8
WV,34.5,,37.1,33.8
WI,-0.1,,2.8,-0.7
WY,39,,44.3,40.6
