State,FundOnly,PollsOnly,AdjPollsOnly,Final
US,-3.3,,2,-2.5
AL,22.7,,29.2,24.8
AK,9.4,,17.3,12.4
AZ,0.1,,6.3,1.6
AR,25.3,,31.3,26.9
CA,-25.3,,-21.9,-25.9
CO,-11.7,,-5.5,-10.3
CT,-17,,-12,-16.4
DE,-17.1,,-10.7,-15.2
DC,-76.3,,-79.7,-80.3
FL,4.1,,8.8,4.4
GA,0.2,,6,1.3
HI,-25.2,,-18.8,-23.2
ID,27.6,,34.4,29.9
IL,-14.6,,-8.9,-13.4
IN,13.4,,21.6,16.7
IA,7.7,,14.3,9.6
KS,13.3,,19.5,14.9
KY,22.9,,29.7,25.4
LA,16.7,,20.6,16.6
ME,-7.6,,-1.6,-6
MD,-29.1,,-23.3,-27.8
MA,-28.8,,-24.9,-28.9
MI,-2,,2.4,-2
MN,-5.9,,-0.2,-5
MS,15,,21,16.5
MO,13.6,,18.5,14.2
MT,14.8,,18.7,14.7
NE,17.4,,23.8,19.2
NV,-1.9,,5.5,0.8
NH,-6,,-0.6,-5.2
NJ,-13.5,,-5.1,-10.3
NM,-9,,-3.9,-8.5
NY,-19.2,,-11,-16.1
NC,1.4,,7,2.5
ND,30.2,,36.3,31.9
OH,8.8,,10.3,6.6
OK,29.5,,36,31.9
OR,-14,,-9.4,-13.8
PA,-1,,3.9,-0.5
RI,-18.1,,-12.1,-16.6
SC,10.4,,16.7,12.2
SD,23.6,,27,23.2
TN,20.5,,26.9,22.5
TX,5.2,,9.6,5.4
UT,18.6,,26.3,21.7
VT,-31,,-27.2,-31.2
VA,-8.5,,-1,-6
WA,-16.9,,-10.3,-15
WV,34.7,,37.3,33.8
WI,-0.2,,2.7,-1.2
WY,38.9,,44.7,40.6
