State,FundOnly,PollsOnly,AdjPollsOnly,Final
US,-3.5,,1.9,-2.2
AL,22.6,,28.9,24.3
AK,17.1,,9.4,12.6
AZ,0,,6.1,1.8
AR,25.4,,30.8,26.9
CA,-25.4,,-21.5,-25.3
CO,-11.6,,-5.4,-9.8
CT,-17.2,,-12,-16.2
DE,-17,,-10.8,-15.1
DC,-76.2,,-79.2,-79.5
FL,4,,9.4,5.1
GA,0.2,,6.1,1.8
HI,-25.3,,-18.7,-22.9
ID,27.8,,33.8,29.9
IL,-14.4,,-9,-13.2
IN,13.3,,21.2,16.6
IA,7.8,,15.8,11.1
KS,13.1,,19.1,14.9
KY,23,,29.4,25.2
LA,16.7,,20.4,16.9
ME,-7.8,,-1.5,-5.7
MD,-29.1,,-23.3,-27.5
MA,-28.8,,-25.7,-29.3
MI,-2.1,,2.1,-1.9
MN,-5.9,,-0.4,-4.9
MS,14.9,,20.6,16.6
MO,13.6,,18.3,14.4
MT,14.5,,18.2,14.6
NE,17.1,,23.5,19.3
NV,-1.7,,5.5,1
NH,-6.2,,-0.9,-5
NJ,-13.7,,-5.2,-10.1
NM,-9,,-4.1,-8.3
NY,-19.4,,-11,-15.7
NC,1.5,,6.8,2.7
ND,30.3,,36,31.9
OH,7.4,,10,6.6
OK,29.8,,35.5,31.7
OR,-14,,-9.4,-13.4
PA,-1.1,,3.6,-0.5
RI,-18,,-12.3,-16.4
SC,10.4,,16.3,12.2
SD,23.6,,26.8,23.3
TN,20.7,,24.4,20.8
TX,5.1,,9.5,5.5
UT,18.4,,26,21.7
VT,-31.1,,-26.9,-30.1
VA,-8.7,,-2.3,-6.7
WA,-17,,-9.4,-14
WV,34.4,,37,33.8
WI,-0.4,,2.7,-1
WY,38.8,,44.2,40.4
